Label,Identifier.Xmin,Identifier.Ymin,Identifier.Xmax,Identifier.Ymax,Identifier.CentroidX,Identifier.CentroidY,Identifier.WeightedCentroidX,Identifier.WeightedCentroidY,Orientation.Orientation,Size.Area,Size.ConvexHullArea,Size.MajorAxisLength,Size.MinorAxisLength,Size.Perimeter,Shape.Circularity,Shape.Eccentricity,Shape.EquivalentDiameter,Shape.Extent,Shape.FractalDimension,Shape.MinorMajorAxisRatio,Shape.Solidity,Shape.HuMoments1,Shape.HuMoments2,Shape.HuMoments3,Shape.HuMoments4,Shape.HuMoments5,Shape.HuMoments6,Shape.HuMoments7,Shape.WeightedHuMoments1,Shape.WeightedHuMoments2,Shape.WeightedHuMoments3,Shape.WeightedHuMoments4,Shape.WeightedHuMoments5,Shape.WeightedHuMoments6,Shape.WeightedHuMoments7,Nucleus.Intensity.Min,Nucleus.Intensity.Max,Nucleus.Intensity.Mean,Nucleus.Intensity.Median,Nucleus.Intensity.MeanMedianDiff,Nucleus.Intensity.Std,Nucleus.Intensity.IQR,Nucleus.Intensity.MAD,Nucleus.Intensity.Skewness,Nucleus.Intensity.Kurtosis,Nucleus.Intensity.HistEnergy,Nucleus.Intensity.HistEntropy,Cluster
2,360,1,387,30,372.18384879725085,15.896907216494846,372.35114401076714,15.257320173470914,0.7374047575461085,582.0,601.0,32.217624355189265,23.222687318978213,90.42640687119285,0.8944216438333725,0.6931358821086564,27.221781995965376,0.7432950191570882,1.1239637567217922,0.7208069429004238,0.9683860232945092,0.16938021106176077,0.0028678844354541972,0.00012965607895012378,5.101199595445769e-06,6.800316092547156e-11,9.881288214771071e-08,1.1219054270100346e-10,0.001327824312441549,2.4059461469831627e-07,1.1575071160258239e-10,1.507497342712918e-11,4.9329038539173e-22,1.9674958132076276e-15,3.9142097331447583e-22,6.0,255.0,114.89690721649484,113.0,1.8969072164948386,56.30055291447792,80.0,40.0,0.26068095175595163,-0.4020884833251186,0.12518156375101852,2.1681546430554612,2
3,538,3,568,40,553.2987179487179,20.952564102564104,552.2427544632507,21.12798516114074,-0.49143899602128827,780.0,801.0,38.62784137240916,25.787404914726668,105.39696961966999,0.882364888926874,0.7445327218691534,31.513915099419602,0.7027027027027027,0.9692997276679275,0.6675859690452681,0.9737827715355806,0.17284458183718537,0.004392459285434759,2.7735763135520496e-05,9.72616545333465e-07,-2.2902122271773646e-12,-3.423536604280411e-08,-4.5026671898653e-12,0.0013706185841617811,2.5708162598223856e-07,1.2840576555847712e-11,2.6859766839559014e-11,-2.5844792457755892e-22,1.2549479670410995e-14,4.266474908591694e-22,7.0,255.0,110.58974358974359,105.0,5.589743589743591,63.53380604206445,88.0,44.0,0.6220365283751496,-0.3579378241720428,0.12150230111768576,2.1878884148853426,1
4,409,6,447,38,426.8333333333333,21.135658914728683,426.77724215813515,20.07567125688955,-1.000887749575017,774.0,821.0,40.53703571953371,24.65848423813628,112.05382386916237,0.7746356170998558,0.7937108730675447,31.39247374172695,0.6365131578947368,1.2153960990660633,0.608295199696953,0.9427527405602923,0.1817903835472519,0.006987718206386503,4.153493973125974e-05,1.8002752301479003e-06,3.8960348903489893e-13,-8.79781704920361e-09,-1.5562490495876985e-11,0.0011524517889236925,2.732418812799656e-07,3.5019391005596416e-11,1.7022297546507304e-11,2.521529893944117e-22,2.872269192132543e-15,-3.303740610464963e-22,36.0,255.0,153.3049095607235,157.0,-3.6950904392764983,47.399424888622676,70.0,35.0,-0.16902427939273063,-0.6899748988489427,0.12587050724782833,2.156322245560238,1
5,300,8,329,34,313.36717428087985,20.993231810490695,313.77182701087406,21.51885116626546,-1.474083022319656,591.0,616.0,29.576513896280805,25.547128564937086,90.18376618407356,0.9131468154407116,0.5038965333618828,27.431452220735256,0.7838196286472149,1.1239637567217922,0.8637640208215882,0.9594155844155844,0.1615298172768947,0.0005517451057384539,1.96626921141467e-05,1.3952892296463327e-07,1.9901968102221278e-13,3.154807413251522e-09,-1.1748523701275663e-13,0.00155866524933845,1.5619303383671255e-07,9.624621139096091e-11,3.854203928313443e-12,1.667224107761594e-23,1.4608793751185414e-15,-7.233598396111323e-23,14.0,225.0,101.92047377326566,93.0,8.920473773265655,50.118966123193054,78.0,37.0,0.33920718722931875,-0.881669035997497,0.11716354453863792,2.2022712954992274,2
6,95,9,119,37,106.97098646034816,22.1605415860735,106.88830223736161,21.720260122319424,0.2614227179113057,517.0,534.0,28.00023622044305,23.89584906213853,84.18376618407356,0.9167347724663188,0.5212304321350777,25.65667251667837,0.7693452380952381,1.0437314206251695,0.8534159809941927,0.9681647940074907,0.16380861107363612,0.0006630477199814651,0.00021834199840441713,8.374546996511774e-07,-7.994999786274712e-12,-7.54087300708066e-09,-8.019932183195276e-12,0.0011982509879272308,5.391842697175085e-08,4.795170471449459e-11,5.93173361233746e-12,-4.521522493420364e-23,7.103406395473594e-16,-8.923912797130415e-23,25.0,255.0,124.92263056092844,121.0,3.9226305609284395,50.38042712768102,70.0,36.0,0.27787453277200125,-0.47032172688741625,0.12636135418965988,2.1549281783037872,2
7,135,9,156,29,144.6123076923077,18.658461538461538,144.35145233874266,18.53366971225965,-1.181450936228587,325.0,334.0,21.160582657233817,19.634702875037114,64.5269119345812,0.9808700227376546,0.3728529006567386,20.342144725641095,0.7738095238095238,0.9036774610288018,0.9278904646949749,0.9730538922155688,0.16024842603550293,0.00014330254535185942,3.272088352893261e-05,3.67152338017569e-08,3.5697802979621634e-14,1.3702436118029142e-10,1.857695712073533e-14,0.0014384705050183764,8.909902936941412e-09,6.7150406160517e-12,2.617530189759673e-12,9.369711710681144e-24,-1.8612487354434223e-16,-5.712746067656109e-24,45.0,212.0,112.81538461538462,115.0,-2.184615384615384,31.875957811343216,44.0,22.0,0.2827595665490104,0.11980122333151355,0.15137514792899406,2.0129513393709892,0
8,459,9,488,45,473.002331002331,26.53030303030303,473.3124779619182,25.2294494887165,-0.1855559267375336,858.0,883.0,36.77995017919347,29.799547417588553,108.42640687119285,0.9171218066521343,0.5861373021674924,33.05207299675423,0.8218390804597702,0.903677461028802,0.8102117396136727,0.9716874292185731,0.16322681828941302,0.0011461130291883024,3.528770405941857e-06,6.117030816818795e-08,1.1318791028663754e-14,1.4246980728018344e-09,2.606868380005844e-14,0.001459843209778064,1.4475518734677928e-07,1.8849617433428414e-11,8.512156399095002e-12,-9.59606469767187e-23,2.8153192703456452e-15,-4.9166181988907265e-23,10.0,255.0,105.77156177156178,94.5,11.271561771561778,56.67524163257697,83.25,40.0,0.5892292527035224,-0.47362480353979697,0.126428350204574,2.166871100078351,1
9,13,16,29,34,20.04739336492891,24.701421800947866,20.03980172572058,24.606902882320544,0.263834335105284,211.0,220.0,17.89377130219393,15.040542743237827,52.2842712474619,0.9699519068309584,0.5417397587487645,16.39065416446578,0.7326388888888888,1.2297158093186484,0.8405462710587861,0.9590909090909091,0.16184981558838363,0.0007747569729385958,1.568582159776594e-05,1.630738131575455e-07,8.908958490965241e-14,1.1501451264745225e-09,2.451258836709908e-13,0.001184633655292412,6.834553507318554e-08,5.840988652535194e-12,2.498108702340524e-13,2.920668881458456e-25,1.573874769126019e-18,7.586438592270986e-26,43.0,238.0,129.07582938388626,125.0,4.0758293838862585,34.717873535047254,42.0,21.0,0.6695734194971124,0.5006391252484077,0.17737696817232318,1.9085132180153357,0
10,502,17,533,42,515.704081632653,30.154761904761905,515.867038255262,31.32346031077337,1.199821504634847,588.0,610.0,32.8234500775696,23.34581971914867,91.59797974644667,0.8806744561112605,0.7029348001569997,27.361740666563517,0.7587096774193548,1.1609640474436804,0.711254291184411,0.9639344262295082,0.17244963577313938,0.0032018609816182827,0.00037053477039504057,1.3188591925444388e-05,3.799344221135794e-10,2.603990801141788e-07,-8.400358773162433e-10,0.001517667827429825,2.6108153816681623e-07,1.3855964308647813e-10,4.25995229331048e-11,-1.252733675967215e-21,-2.1752060841877353e-14,3.0236029620558583e-21,8.0,255.0,104.96088435374149,99.0,5.960884353741491,52.00670581336655,67.25,32.5,0.56427985427863,0.08539130324180588,0.14107547781017168,2.0934568033811605,2
12,264,68,295,93,279.3174342105263,79.44243421052632,279.0569055314588,79.53212868219651,1.530074176952907,608.0,631.0,31.241998282521234,24.83172156351659,91.59797974644665,0.9106293695844326,0.6068470824874844,27.823185353208192,0.7845161290322581,1.0437314206251695,0.7948186072786849,0.9635499207606973,0.16372089355397562,0.0013652908078800527,5.355122100476431e-06,2.277141192063974e-08,-4.227104891927137e-15,-2.5621883048546856e-10,-6.735274645346857e-15,0.0013766173772228108,3.6898555512959565e-08,1.3833073897831093e-11,1.0388757627723424e-11,-1.2354903990686812e-22,1.9341084685808034e-15,1.5670165578418503e-23,7.0,255.0,98.21217105263158,78.0,20.212171052631575,62.57479248465037,91.5,40.0,0.6912416403410615,-0.6066984103524722,0.13339681440443213,2.1476605235262074,2
