Label,Orientation.Orientation,Size.Area,Size.ConvexHullArea,Size.MajorAxisLength,Size.MinorAxisLength,Size.Perimeter,Shape.Circularity,Shape.Eccentricity,Shape.EquivalentDiameter,Shape.Extent,Shape.FractalDimension,Shape.MinorMajorAxisRatio,Shape.Solidity,Shape.HuMoments1,Shape.HuMoments2,Shape.HuMoments3,Shape.HuMoments4,Shape.HuMoments5,Shape.HuMoments6,Shape.HuMoments7,Shape.WeightedHuMoments1,Shape.WeightedHuMoments2,Shape.WeightedHuMoments3,Shape.WeightedHuMoments4,Shape.WeightedHuMoments5,Shape.WeightedHuMoments6,Shape.WeightedHuMoments7,Nucleus.Intensity.Min,Nucleus.Intensity.Max,Nucleus.Intensity.Mean,Nucleus.Intensity.Median,Nucleus.Intensity.MeanMedianDiff,Nucleus.Intensity.Std,Nucleus.Intensity.IQR,Nucleus.Intensity.MAD,Nucleus.Intensity.Skewness,Nucleus.Intensity.Kurtosis,Nucleus.Intensity.HistEnergy,Nucleus.Intensity.HistEntropy,Nucleus.Gradient.Mag.Mean,Nucleus.Gradient.Mag.Std,Nucleus.Gradient.Mag.Skewness,Nucleus.Gradient.Mag.Kurtosis,Nucleus.Gradient.Mag.HistEntropy,Nucleus.Gradient.Mag.HistEnergy,Nucleus.Gradient.Canny.Sum,Nucleus.Gradient.Canny.Mean,Nucleus.Haralick.ASM.Mean,Nucleus.Haralick.ASM.Range,Nucleus.Haralick.Contrast.Mean,Nucleus.Haralick.Contrast.Range,Nucleus.Haralick.Correlation.Mean,Nucleus.Haralick.Correlation.Range,Nucleus.Haralick.SumOfSquares.Mean,Nucleus.Haralick.SumOfSquares.Range,Nucleus.Haralick.IDM.Mean,Nucleus.Haralick.IDM.Range,Nucleus.Haralick.SumAverage.Mean,Nucleus.Haralick.SumAverage.Range,Nucleus.Haralick.SumVariance.Mean,Nucleus.Haralick.SumVariance.Range,Nucleus.Haralick.SumEntropy.Mean,Nucleus.Haralick.SumEntropy.Range,Nucleus.Haralick.Entropy.Mean,Nucleus.Haralick.Entropy.Range,Nucleus.Haralick.DifferenceVariance.Mean,Nucleus.Haralick.DifferenceVariance.Range,Nucleus.Haralick.DifferenceEntropy.Mean,Nucleus.Haralick.DifferenceEntropy.Range,Nucleus.Haralick.IMC1.Mean,Nucleus.Haralick.IMC1.Range,Nucleus.Haralick.IMC2.Mean,Nucleus.Haralick.IMC2.Range,Cluster
6,0.5947811215040759,343.0,354.0,23.875553243807044,18.35489691394257,67.35533905932738,0.9500794636199165,0.6395209378330009,20.897874625046462,0.7424242424242424,1.0437314206251695,0.7687736793577151,0.9689265536723164,0.16525952686212164,0.0018046984324664246,5.2632387533722635e-05,9.326179721469522e-07,5.3404574826821025e-12,3.1388066679578495e-08,3.764740978402411e-12,0.0008640394836854218,5.0720799971742224e-08,6.202021406891908e-12,3.8154606742093606e-13,-3.828741448644146e-26,1.7967305183938236e-17,5.856809364703745e-25,106.0,255.0,188.51311953352769,188.0,0.5131195335276857,33.78312286571589,48.5,24.0,-0.05857786849880632,-0.4698687486392319,0.1239364550484917,2.1699627912250348,27.868777526347866,14.131449227263634,0.47342800881968594,0.05200992052523423,1.9488133625464816,0.15679691285093794,131.0,0.3819241982507289,0.00692861522082309,0.0017070593235131177,16.75414399500368,11.525678866587956,0.5028634444162736,0.33980824147565086,16.833547154446876,0.3118498978797106,0.2748959270336554,0.09223980464545559,47.86092966651267,0.19037780401418303,50.58004462278416,11.363370156816927,4.768052822371734,0.15138574480527112,7.488437761924473,0.27096593419696724,0.0033708783853113686,0.001223285955663598,3.122220174390393,0.444531885708078,-0.12097480003135211,0.06606454430461392,0.7798417554278698,0.1318689245039576,0
7,-0.4158865363800552,179.0,189.0,17.420360765094507,13.62711580890047,50.970562748477136,0.8658128716372817,0.6229618534410989,15.09668435477122,0.7991071428571429,1.1699250014423135,0.7822522158212343,0.9470899470899471,0.17079862236565266,0.001690940658824423,0.0006056289819438553,4.036435799274089e-06,-1.7045430635879846e-10,-1.6595570783107766e-07,1.0380008377657145e-10,0.001016439789604963,8.138607339892892e-08,1.0620710349215525e-10,8.937264082682121e-13,5.557032374734057e-24,3.1132362090546264e-17,-6.703470791070234e-24,98.0,251.0,169.10614525139664,168.0,1.10614525139664,34.39947570409079,48.0,24.0,0.040528709265308736,-0.5073140850891833,0.125495458943229,2.167539593224782,26.21076126725421,13.96529675102105,0.8263289676550423,0.2672458799471018,2.037242452805097,0.15027620860772137,45.0,0.25139664804469275,0.0075864257314445386,0.00128171060090703,17.087631302521007,11.59642857142857,0.6241504808915149,0.25052326637822503,22.707379942939212,0.5693708736556573,0.28163308700519885,0.09984504712139466,43.73716736694678,0.4653361344537714,73.74188846923545,11.84720027717026,4.959803638975224,0.09076989988663886,7.374083387188898,0.2226323699973065,0.003260736950264175,0.0017024718320232512,3.127523253268524,0.4551041888148508,-0.22827152258131678,0.05962497875782047,0.9207930918688685,0.04180027393002472,0
8,-1.4576229513416745,154.0,161.0,18.654421546300117,11.168457024137416,48.384776310850235,0.8266337060145934,0.8009711540447151,14.002817212590296,0.7368421052631579,0.8479969065549511,0.5987029400197373,0.9565217391304348,0.19185141052234997,0.008209434507557975,0.0013249614323203895,9.127791170479681e-05,6.346122559345598e-09,-2.888780757506106e-07,-3.110233032691777e-08,0.0010875353234408838,2.6553443133672053e-07,2.393477579781429e-10,1.109939262374484e-11,-1.4241246154954632e-22,-2.165367158737041e-15,-5.540797529975691e-22,100.0,255.0,173.13636363636363,172.0,1.136363636363626,35.02208360482872,49.0,25.5,0.186515861327706,-0.4665082576115336,0.122701973351324,2.1829173763543714,32.719098824973614,15.595157860854975,0.4452619808539049,-0.044839906118973705,2.0957126899733387,0.14167650531286893,50.0,0.3246753246753247,0.007563428607403676,0.003706560060438174,25.707476076555025,18.7212918660287,0.48903809908479157,0.37142374842742065,25.15725033918565,0.1633240997231269,0.27457149951266824,0.14973725899944187,45.70835326953748,0.43827751196171505,74.92152528018744,18.512894463394787,4.936086250297009,0.10491158520852029,7.381588803707403,0.3738773465830896,0.0027977284889311145,0.0016300708546049796,3.36433605334776,0.556890666649108,-0.21568065820859228,0.0824931378811685,0.909020563264223,0.056702327427589516,0
9,-1.510642397568775,33.0,36.0,10.915470086078589,3.947356339942887,21.86396103067893,0.8674932708723448,0.9323218765581862,6.4820448144285745,0.75,-0.3962406251802889,0.36162953210574783,0.9166666666666666,0.2551687675654618,0.038473830704817115,0.0015692104023920287,0.00023950352222589636,9.595152690426569e-08,1.33597890954066e-05,-1.1113830435177907e-07,0.002485319029677593,3.736043997519619e-06,1.0624413927064943e-09,1.2499405181330119e-10,2.0904634884015822e-20,2.814994885835476e-14,-4.0469505412757145e-20,82.0,135.0,104.0909090909091,100.0,4.0909090909090935,13.85501470612309,16.0,7.0,0.8257854504174206,-0.11807707447542226,0.1423324150596878,2.094899773727456,23.21227444966537,15.920046816231036,0.999951204442968,0.16112742513150247,1.8214311561317698,0.18824609733700642,5.0,0.15151515151515152,0.022840155819559227,0.003357438016528925,21.55094696969697,23.231818181818184,0.6335025576281351,0.4212573949526975,30.048194265094082,4.021120867768502,0.28220920482819284,0.145206819621364,32.7592803030303,0.9954545454545425,98.6418300906796,39.31630165289289,4.360751409742225,0.1992242685089094,5.81459130806765,0.16158283694371445,0.0033926355171028464,0.0021952479338842984,3.087908237944235,0.6855594972449892,-0.4385589502347894,0.04795354067006463,0.9805690452658398,0.009400609648491987,1
10,-1.5527564040494362,86.0,96.0,25.884456796281427,4.407118692707036,51.48528137423857,0.4077013355677321,0.9853989666870826,10.464157913908982,0.688,-0.5804820237218403,0.17026120066541883,0.8958333333333334,0.5010376444841335,0.2235464430766314,0.004136837156274974,0.0019317413397366549,5.3452150313068784e-06,0.0007581407534685197,-1.1176786392609395e-06,0.0028711624900112937,7.329907095967238e-06,7.255326323880475e-10,3.1080943925214495e-10,1.4271589691175639e-19,6.573320516625228e-13,-3.7633351661823885e-20,129.0,239.0,172.08139534883722,173.0,-0.9186046511627808,20.17378861022914,31.0,16.0,0.25826170341287347,0.035890051700836256,0.15062195781503518,1.990207437571873,18.63995026563131,9.3251933405682,0.9188256272512767,0.928935458937624,1.9458773944154713,0.15981611681990263,28.0,0.32558139534883723,0.014978358974358976,0.003474666666666666,8.700769230769232,6.564000000000002,0.43090006750352094,0.43352094659722534,7.65834578698221,0.159595999999965,0.3519360205454324,0.15644064082181725,43.815538461538466,0.33200000000000784,21.9326139171593,6.978383999999778,4.11822683045727,0.36546344336813075,6.344055482637071,0.26583100869412224,0.004657785461867193,0.002436888888888884,2.687498039212327,0.5313379233244162,-0.168174811951241,0.08181807914642927,0.8241034254208868,0.09587157585217432,0
11,1.5695452756150952,146.0,172.0,23.591093189165566,9.151628782885483,57.55634918610404,0.5538297007420695,0.9216899803339232,13.63425735166143,0.5104895104895105,0.6780719051126383,0.38792728719703656,0.8488372093023255,0.27409759727723976,0.040962462138620696,0.004505733154107263,0.00028991052377457134,-3.048709986663022e-07,-5.585538334487081e-05,-1.297779457005877e-07,0.0018426082567736474,1.8521892846816111e-06,1.3473144285879329e-09,9.043330260491125e-11,-1.5901660341751378e-20,-9.21063149377422e-14,2.726873741981584e-20,90.0,243.0,153.04109589041096,149.0,4.041095890410958,27.23210150215517,29.75,14.0,0.6800846540668654,1.5519632894835826,0.19778570088196662,1.8660784413921474,20.189561195124625,13.236964727106972,1.15315897526049,0.6334962531617405,1.995575465745495,0.16729217489209985,42.0,0.2876712328767123,0.008377765203838436,0.002162646502681465,10.263516576016578,7.194055944055947,0.7746709264526883,0.15337341537616067,22.741525819291653,0.7442170874046496,0.34972509427466175,0.12295499739310556,44.84827441077441,0.30451955451954404,80.70258670114987,7.538031464540154,4.990887916091607,0.09458820392027167,7.236549725742427,0.3226205886746074,0.004273598229672899,0.0011833185436202782,2.8185443456486445,0.3834792445289419,-0.25208627224788355,0.0739845061725996,0.933276999218973,0.04168181721458575,0
12,1.1114200817509505,109.0,116.0,16.638531978772534,8.564735354101733,40.970562748477136,0.8160044056297022,0.8573384867006649,11.780624362746345,0.68125,1.0000000000000002,0.5147530662578067,0.9396551724137931,0.20080013652203926,0.013613705202458583,0.0002831515746489493,1.596518556940579e-05,5.962870361485575e-10,3.2597325849289897e-07,-8.925672642661008e-10,0.0013669221693841898,5.652271087474512e-07,1.0154245941081249e-10,2.8047995573009322e-11,1.4614028477715636e-21,1.4265253183560036e-14,-3.2379642592763726e-22,72.0,214.0,141.91743119266056,142.0,-0.08256880733944172,34.40133570064373,49.0,25.0,-0.14240254588172144,-0.812399865316562,0.11640434306876526,2.215383992743554,25.509984742062088,13.619075246500817,0.30090371221688617,-0.6916754138231127,2.163618290167063,0.12364279101085769,32.0,0.29357798165137616,0.007558896054585848,0.001834646177685949,15.595404411764706,12.450000000000003,0.7356361076136028,0.21770743897974676,29.63038668233385,1.3182499354338688,0.299157273521121,0.1135585548616061,39.7394050802139,0.27159090909090366,102.9261423175709,16.42503099173541,5.154100330806992,0.07937254736243737,7.315607632725001,0.3186989340084345,0.003468465536970021,0.0015187161027892526,3.064190810627645,0.47496205947900716,-0.31636281728220517,0.0834008546367388,0.966324779964598,0.023121394818653496,0
13,-0.031382400414878456,307.0,326.0,27.6273809710059,14.26468840560674,68.8700576850888,0.8133684941836584,0.8563931383000732,19.77080019204319,0.7580246913580246,1.1699250014423141,0.5163243095889943,0.941717791411043,0.19681464059978623,0.012987778262039002,0.00010992322492280686,1.6035363441568783e-05,6.70346405292019e-10,1.7837107003522164e-06,6.223542298377796e-11,0.001175772092644203,4.2181391159274915e-07,4.5865520816159204e-11,2.2628517655327104e-11,7.278879787715474e-22,1.4636467849135684e-14,4.024408873784661e-23,96.0,255.0,163.87947882736157,162.0,1.8794788273615666,34.83317808489273,51.5,25.0,0.37763029735364956,-0.3719516089576591,0.13144967055353374,2.131774289619356,26.611612753473533,13.853452922083234,0.5740737666875303,-0.2038793156938441,2.104998973590571,0.13654256278581206,94.0,0.30618892508143325,0.006062559500966595,0.0016350046677335766,14.562913359788357,9.615895061728397,0.6627112318060986,0.22547030608844776,21.618889960532044,0.3238295478226405,0.2866983387141751,0.12388826712336332,42.844438932980594,0.5557098765432187,71.91264648234,10.253561552163319,5.014107716459108,0.12184624495046759,7.619478140335756,0.29688868533330304,0.003552329992907514,0.0013865214867382716,3.0346036098468874,0.39756950291926607,-0.16939461453310553,0.07281492837253578,0.8643015085022289,0.09351188579797765,0
14,-1.0673139072670426,58.0,60.0,9.590921777633648,7.795236095277374,26.14213562373095,1.066487404667215,0.5825814074696234,8.593479713983122,0.725,1.3219280948873633,0.812772356610824,0.9666666666666667,0.16460289474763212,0.001131805825750399,0.00025393795712404596,3.0419941583207236e-06,2.6913323747263058e-11,1.7101442174843665e-08,8.014968896804916e-11,0.0012229305760323857,6.546345640741866e-08,9.355673522874162e-11,1.46638194317015e-12,-1.0697529198049704e-23,-3.5148977293318163e-16,-1.343722569583617e-23,78.0,214.0,129.81034482758622,129.0,0.8103448275862206,28.978860842744712,31.75,15.0,0.5153602259667368,0.2055119932194569,0.152794292508918,2.0510206850514647,27.32164717525546,15.646196269375524,0.8388592488015136,-0.05029772237760399,2.014665443349993,0.15814506539833534,9.0,0.15517241379310345,0.010548421398326702,0.002062512753800632,26.603314393939392,16.395833333333336,0.3579933291212816,0.417867601553768,20.990079044668562,2.673823605371865,0.23862707069976113,0.07165457543667256,35.74169823232323,0.9931818181818102,57.35700178473496,23.561203512397242,4.555619499067593,0.304048515311079,6.788153848461064,0.2050453836107673,0.0026986127950113514,0.0008641367510330549,3.3436436629646464,0.3899516263575471,-0.33962700303881305,0.060837643116630036,0.9677886691334388,0.01671758309221183,1
15,-0.3464557272400248,159.0,170.0,18.407468027755673,11.138084969843081,47.21320343559643,0.8963550123262949,0.7961607875097535,14.228319915326999,0.7194570135746606,1.0000000000000004,0.6050851183361305,0.9352941176470588,0.18195433018407692,0.0071276298993782,0.00016155111803849444,1.0080932331167639e-05,1.4637426635177955e-10,2.1040398339798735e-07,3.7957862874956393e-10,0.001662353245010884,5.741505718715594e-07,1.5273837935835908e-10,2.4956386131395748e-11,1.5396873415832494e-21,1.778707352091828e-14,-5.85790984732383e-23,51.0,178.0,110.62893081761007,109.0,1.628930817610069,23.589133373701074,34.0,17.0,0.08000105067779406,-0.4993163889620216,0.15224872433843598,1.9924443238265084,26.29516015392397,15.925438264802317,1.5615394610225082,3.045078383398401,1.7193812034004239,0.22748309006763973,38.0,0.2389937106918239,0.008201023605997814,0.001317791300300141,22.77390828126122,21.78571428571428,0.6257285285736143,0.40148384291121775,31.035763390629704,4.772686667775503,0.2792665336471158,0.07078378372907942,32.43913847590318,1.1477052359405242,101.36914528125808,40.87646095681578,5.04422330721043,0.20348618986974376,7.313170428186793,0.26476202048029585,0.003202807582462088,0.0017915276099997957,3.2480571386468315,0.6114528812638644,-0.2559428707550768,0.0946185768379878,0.937443379156828,0.05325445946350993,1
