Label,Area,Perimeter,equivalent_diameter_area,axis_major_length,axis_minor_length,eccentricity,solidity,intensity_mean,intensity_max,intensity_min,intensity_median,intensity_std,Cluster
1,243.0,78.5269119345812,17.58969042850512,31.321928407841163,11.093171885664097,0.9351824544258489,0.8901098901098901,63.07818930041152,149.0,33.0,62.0,20.343502254139167,0
2,1097.0,164.29646455628165,37.37303547444967,63.377955712121825,26.305960458536756,0.909791836798868,0.9481417458945549,85.56791248860529,155.0,68.0,84.0,9.249957033559522,0
3,716.0,119.05382386916237,30.19336870954244,45.94460921259995,20.857517101977855,0.8910164937647304,0.8961201501877347,68.14245810055866,152.0,45.0,64.0,14.990381891900027,0
4,1325.0,159.29646455628165,41.07362166615078,60.333889525530054,30.349757504130263,0.8642689404864768,0.9025885558583107,96.14943396226415,174.0,81.0,94.0,10.181685817913241,1
5,1062.0,131.35533905932738,36.772005609005646,46.61592794954008,30.20589181528834,0.7616627740212646,0.9533213644524237,103.95951035781545,174.0,82.0,102.0,10.357146742667085,1
6,642.0,109.59797974644665,28.590554169515052,42.94381466904216,20.03630634131557,0.8844841445264316,0.9145299145299145,107.05919003115265,172.0,86.0,105.0,8.910226437610643,1
7,1398.0,151.46803743153546,42.18991447656368,50.84713546943416,37.549904121823786,0.6742686710879678,0.946513202437373,103.05722460658083,163.0,74.0,101.0,12.330493680891362,1
8,202.0,60.2842712474619,16.03728119216293,22.659954038770923,12.198777833762195,0.842727227961522,0.9017857142857143,87.29207920792079,141.0,71.0,83.0,12.129615040199301,0
9,158.0,65.76345596729058,14.183506197980657,30.82316644474835,6.844112795360389,0.9750365458565277,0.9028571428571428,113.34810126582279,136.0,100.0,112.0,7.802893990222899,1
10,36.0,22.899494936611664,6.770275002573076,8.257841851719512,5.950881130017185,0.6933157440440916,0.8372093023255814,89.0,125.0,78.0,86.0,9.297550453987569,0
11,96.0,37.55634918610404,11.055812783082736,13.482642674899664,9.694353989758792,0.694984450453162,0.9056603773584906,94.21875,135.0,81.0,90.0,12.071145973111529,0
12,1153.0,130.46803743153546,38.31507790778511,43.08858722561817,34.929895198819295,0.5855267816672894,0.9632414369256475,120.02775368603643,198.0,101.0,118.0,10.738115392720363,1
13,241.0,64.62741699796952,17.517155313611116,24.41641116828064,13.717275730181042,0.8272693058746634,0.9198473282442748,82.64730290456431,137.0,67.0,80.0,11.548386524310997,0
14,720.0,127.74011537017762,30.277590264241923,55.618835830804514,16.9506512009025,0.952427713862113,0.9326424870466321,100.1125,145.0,78.0,99.0,9.233234618906733,1
15,2103.0,202.8111831820431,51.745751154834416,71.78467271654823,41.44727168083427,0.8164732191003631,0.9135534317984362,110.81550166428912,174.0,88.0,110.0,8.458351283858619,1
16,1174.0,154.66904755831214,38.66242653428625,61.65158779783146,25.18990140352627,0.9127203650306925,0.936951316839585,95.5954003407155,204.0,63.0,89.0,22.752628976687518,0
17,2632.0,232.95331880577405,57.88926050437117,83.31306505384262,46.49007068273261,0.829829807335968,0.8747092057161848,112.00873860182371,199.0,83.0,111.0,13.86329805851878,1
18,4110.0,262.16652224137044,72.33957788694595,99.33309516690036,53.09518873205985,0.8451579731816208,0.9776403425309229,101.19002433090024,186.0,60.0,101.0,13.371853642225215,1
19,1999.0,199.03657992645927,50.45003320044091,80.59129203421324,32.148274635709136,0.9169922293228746,0.9473933649289099,98.76288144072036,176.0,75.0,95.0,15.114960599300613,1
20,834.0,111.59797974644667,32.586527589007176,35.36476313690689,30.98656888169932,0.48194955395763567,0.9498861047835991,121.6031175059952,166.0,104.0,120.0,9.433703539088484,1
21,417.0,86.31980515339464,23.04215463350949,29.683934843991736,19.339411793130505,0.7586391378128565,0.952054794520548,120.83213429256595,148.0,102.0,120.0,7.712186221046831,1
22,669.0,129.5269119345812,29.185565874723483,58.06855104292356,15.587416073038177,0.9632988334227012,0.9330543933054394,110.91180866965621,144.0,90.0,110.0,6.8809866405370395,1
23,1564.0,156.8111831820431,44.62450725740055,56.835254273067314,36.27011505827479,0.7699018854443447,0.9478787878787879,113.3970588235294,142.0,88.0,113.0,6.23784887704953,1
24,500.0,97.698484809835,25.2313252202016,41.11750146129555,16.271664745205356,0.9183644300849547,0.9689922480620154,111.882,143.0,97.0,111.0,6.581798842261893,1
25,1512.0,153.9827560572969,43.87639674858871,56.351587611065646,34.82536991681441,0.7861768585194098,0.9661341853035144,114.2526455026455,159.0,99.0,114.0,6.17574885772541,1
26,911.0,113.84062043356595,34.05761625912379,35.46339887271476,33.176508034688666,0.35328947829293444,0.9691489361702128,105.45444566410538,143.0,79.0,106.0,9.053436890681127,1
27,5282.0,316.46803743153544,82.00762937246223,127.40727373928125,55.22618319613301,0.9011719527567322,0.9572308807538963,103.60242332449829,182.0,54.0,104.0,12.81806315658595,1
28,2786.0,281.25483399593907,59.55875562528286,130.13991617315367,29.038732353876618,0.9747876186836938,0.9472968378102686,99.25484565685571,215.0,65.0,99.0,18.44711752175169,1
30,1091.0,159.6040764008565,37.2706901372387,60.353064640461035,23.716540387762617,0.919554148809257,0.9084096586178185,228.12465627864344,242.0,96.0,237.0,20.2622369527668,1
31,907.0,137.0538238691624,33.982764264767994,50.95715615453386,24.720218573854225,0.8744488628207557,0.8953603158933859,107.13450937155457,198.0,70.0,103.0,22.41307083051452,1
32,427.0,91.94112549695429,23.31680264534386,26.845078732045167,25.037430917856497,0.36074698984353815,0.893305439330544,128.9367681498829,208.0,89.0,125.0,23.385942891364085,1
33,1144.0,132.2842712474619,38.16524648390242,44.51166577853197,34.08151651504693,0.6432263859692755,0.9662162162162162,114.7465034965035,193.0,84.0,113.0,13.481419679902118,1
